Ordering,Tiff,Score,KLP score,LW score,SJ score,check,1+ Step Diff,Orginial ARVO Score,Comments
1,20190710mouse1_OD_L_4_90_0000363_Structure_0001 RA 49.TIFF,0,0,0,0,x,,,
2,20190710mouse1_OD_L_4_90_0000380_Structure_0001ra 56.TIFF,0,0,0,0,x,,,
3,20190710mouse1_OS_L_4_90_0000370_Structure_0001 LA 49.TIFF,0,0,0,0,x,,,
4,20190710mouse1_OS_L_4_90_0000370_Structure_0001 LA56.TIFF,0,0,0,0,x,,,
5,20190710mouse2_OD_L_4_90_0000344_Structure_0001 RA49.TIFF,0,0,0,0,x,,,
6,20190710mouse2_OD_L_4_90_0000398_Structure_0001 RA56.TIFF,0,0,0,0,x,,,
7,20190710mouse2_OS_L_4_90_0000338_Structure_0001 LA49.TIFF,0,0,0,0,x,,,
8,20190710mouse2_OS_L_4_90_0000408_Structure_0001 LA56.TIFF,0,0,0,0,x,,,
9,20190710mouse3_OD_L_4_90_0000326_Structure_0001 RA49.TIFF,0,0,0,0,x,,,
10,20190710mouse3_OD_L_4_90_0000399_Structure_0001 RA56.TIFF,0,0,0,0,x,,,
11,20190710mouse3_OS_L_4_90_0000329_Structure_0001 LA49.TIFF,0,0,0,0,x,,,
12,20190710mouse3_OS_L_4_90_0000387_Structure_0001 LA56.TIFF,0,0,0,0,x,,,
13,20190919mouse2_OD_L_4_90_0000006_Structure_0001 RA2.TIFF,4,4,4,4,x,,,
14,20190919mouse3_OD_L_4_90_0000016_Structure_0001 RA2.TIFF,4,4,4,4,x,,,
15,20190919mouse4_OD_L_4_90_0000006_Structure_0001 RA2.TIFF,4,4,4,4,x,,,
16,20190919mouse6_OD_L_4_90_0000006_Structure_0001 RA2.TIFF,4,4,4,4,x,,,
17,20190919mouse8_OD_L_4_90_0000016_Structure_0001 RA2.TIFF,4,4,4,4,x,,,
18,20190920mouse1_OD_L_4_90_0000016_Structure_0001 RA 1.TIFF,3,3,2,3,4,,,
19,20190920mouse1_OD_L_4_90_0000036_Structure_0001 RA 55.TIFF,0.5,0,0.5,0.5,x,,,
20,20190920mouse2_OD_L_4_90_0000006_Structure_0001RA 1.TIFF,2,2,2,1,x,,,
21,20190920mouse2_OD_L_4_90_0000026_Structure_0001 RA 55.TIFF,0,0,0,0,x,,,
22,20190920mouse3_OD_L_4_90_0000016_Structure_0001RA 1.TIFF,3,2,3,3,x,,,
23,20190920mouse3_OD_L_4_90_0000036_Structure_0001 RA 55.TIFF,0,0,0,0,x,,,
24,20190920mouse4_OD_L_4_90_0000006_Structure_0001 RA 1.TIFF,2,2,2,2,x,,,
25,20190920mouse4_OD_L_4_90_0000036_Structure_0001 RA 55.TIFF,0,0,0,0,x,,,
26,20190920mouse5_OD_L_4_90_0000016_Structure_0001 RA 1.TIFF,1,1,0.5,1,x,,,
27,20190920mouse5_OD_L_4_90_0000026_Structure_0001 RA 55.TIFF,0,0,0,0,x,,,
28,20190925mouse1_OD_L_4_90_0000006_Structure_0001 RA2.TIFF,3,3,1,3,x,,,
29,20190925mouse1_OD_L_4_90_0000036_Structure_0001 ra 35.TIFF,0,0,0,0,x,,,
30,20190925mouse10_OD_L_4_90_0000012_Structure_0001 RA2.TIFF,2,2,2,2,3,,,
31,20190925mouse10_OD_L_4_90_0000026_Structure_0001 ra35.TIFF,0,0,0,0,0.5,,,edema + 1 cell
32,20190925mouse11_OD_L_4_90_0000016_Structure_0001 RA 1.TIFF,1,1,0,1,x,,,
33,20190925mouse11_OD_L_4_90_0000036_Structure_0001 RA 55.TIFF,0.5,0.5,0.5,0.5,x,,,
34,20190925mouse12_OD_L_4_90_0000006_Structure_0001 RA 1.TIFF,2,1,2,2,x,,,
35,20190925mouse12_OD_L_4_90_0000026_Structure_0001RA 55.TIFF,0.5,0.5,0.5,0,x,,,
